-0.041417,-0.1265,-0.12729
-0.040417,-0.125,-0.12738
-0.039417,-0.12743,-0.12674
-0.041917,-0.124,-0.12719
-0.039417,-0.1275,-0.12673
-0.04262,-0.124,-0.12624
-0.037876,-0.12813,-0.12576
-0.042667,-0.124,-0.12574
-0.040417,-0.12107,-0.12567
-0.037805,-0.125,-0.12534
-0.040417,-0.12075,-0.12524
-0.036917,-0.126,-0.12493
-0.042671,-0.1215,-0.12474
-0.012917,-0.15582,-0.12424
-0.03533,-0.127,-0.12429
-0.042917,-0.12291,-0.12424
-0.012611,-0.1565,-0.12424
-0.034417,-0.128,-0.124
-0.037403,-0.12296,-0.12376
-0.042522,-0.119,-0.12374
-0.0098308,-0.154,-0.12332
-0.033417,-0.128,-0.12345
-0.035958,-0.12404,-0.12318
-0.03992,-0.1195,-0.12323
-0.012917,-0.1535,-0.12282
-0.031982,-0.1295,-0.12274
-0.033841,-0.12547,-0.12276
-0.038417,-0.12029,-0.12274
-0.011917,-0.15444,-0.12228
-0.0099168,-0.15143,-0.12224
-0.032917,-0.126,-0.12251
-0.036451,-0.12255,-0.12214
-0.040868,-0.11796,-0.12224
-0.012417,-0.1525,-0.12193
-0.039743,-0.1315,-0.12224
-0.030917,-0.1275,-0.12212
-0.033953,-0.12403,-0.12168
-0.043088,-0.119,-0.12174
-0.0099168,-0.15387,-0.12124
-0.041417,-0.1315,-0.12159
-0.038417,-0.13054,-0.1212
-0.028417,-0.1295,-0.12149
-0.029008,-0.127,-0.1212
-0.043417,-0.123,-0.12167
-0.038417,-0.11968,-0.12124
-0.01045,-0.15351,-0.12071
-0.026417,-0.1315,-0.12079
-0.036416,-0.1305,-0.12074
-0.026917,-0.13,-0.12113
-0.026363,-0.12839,-0.12076
-0.029916,-0.1255,-0.12074
-0.036209,-0.122,-0.12074
-0.043004,-0.1175,-0.12074
-0.0064168,-0.151,-0.12047
-0.034417,-0.131,-0.12056
-0.035384,-0.13048,-0.12026
-0.041917,-0.13035,-0.12024
-0.038417,-0.12959,-0.12013
-0.024335,-0.12847,-0.12025
-0.029417,-0.1255,-0.12049
-0.036853,-0.12146,-0.12024
-0.041917,-0.11775,-0.12024
-0.0064488,-0.14956,-0.11973
-0.032917,-0.13096,-0.1198
-0.044917,-0.13039,-0.11974
-0.039444,-0.1295,-0.11975
-0.021363,-0.12891,-0.11975
-0.025434,-0.12702,-0.11973
-0.029917,-0.12464,-0.11974
-0.037917,-0.12073,-0.11974
-0.042417,-0.1177,-0.11974
-0.010271,-0.15,-0.11924
-0.019917,-0.132,-0.11948
-0.019417,-0.131,-0.11948
-0.046417,-0.1295,-0.11943
-0.038417,-0.12896,-0.1193
-0.022417,-0.128,-0.11964
-0.025333,-0.12648,-0.11926
-0.043917,-0.1237,-0.11924
-0.039358,-0.11944,-0.11924
-0.0094489,-0.1516,-0.11872
-0.019917,-0.133,-0.11922
-0.018417,-0.1315,-0.11909
-0.043417,-0.12955,-0.11868
-0.017943,-0.129,-0.11873
-0.048917,-0.12783,-0.11874
-0.025322,-0.12599,-0.11876
-0.030917,-0.12382,-0.11874
-0.038917,-0.12011,-0.11874
-0.0069168,-0.15241,-0.11824
-0.0064168,-0.148,-0.11825
-0.027417,-0.13205,-0.11819
-0.017417,-0.1305,-0.11858
-0.041419,-0.129,-0.11824
-0.037917,-0.12839,-0.11824
